"Name","PriceRange","Address"
"Domina Home Ca' Zusto","$179 - $435*","1013704.json"
"Outrigger Maui Eldorado","$174 - $242*"," 2661 Keka'a Drive, Lahaina, Maui, HI 96761  "
"Hotel-Pension Uhland am Kurfuerstendamm","$33 - $85*","Uhlandstrasse 142, 10719 Berlin, Germany "
"BEST WESTERN Premier Regency Suites & Spa","$211 - $533*","Akbiyik Cad. No:38 | Sultanahmet, Istanbul 34122, Turkey "
"Al Jawhara Metro","$41 - $75*"," Al Rigga Rd, Dubai, United Arab Emirates  "
"Hotel Windsor","$104 - $184*","401, MacPherson Road, Singapore 368125, Singapore "
"Ambassador Hotel","$72*","75 Desker Road, Singapore 209598, Singapore "
"Fragrance Hotel - Imperial","$81 - $111*","28 Penhas Road, Singapore 208187, Singapore "
"Fragrance Hotel - Oasis","$63 - $86*","1015610.json"
"Madras Hotel","$109 - $134*","No.28-32 Madras Street, Singapore 208422, Singapore "
"Hotel Metro Roma","$69 - $127*","Via di Rebibbia 18, 00156 Rome, Italy "
"Copthorne Hotel Dubai","$81 - $840*"," Port Saeed , Deira, Dubai 119311, United Arab Emirates  "
"MiNC Lombard Lane","0"," 4 - 7 Lombard Lane, London EC4 8AD, England  "
"Hotel Opera Roma","$94 - $468*","Via Firenze 11, 00184 Rome, Italy "
"Parc Suites Hotel","$120 - $392*","3463 Avenue du Parc, Montreal, Quebec H2X 2H6, Canada "
"Le Reve Hotel & Spa","$222 - $401*"," Playa Xcalacoco | Fracción 2A, Playa del Carmen 77710, Mexico  "
"Central Park Hotel","$75 - $1,573*"," 3-15 Wilberforce Road, London N4 2SR , England  "
"Hotel Antik Ipek","$39 - $95*","Kumkapi Cifte Gelinler Cad. No 39:41 | EminÃ¶nÃ¼, Istanbul, Turkey "
"Kafkas Hotel Istanbul","$60 - $118*","Hudavendigar caddesi 35 | Sirkeci, Istanbul 34110, Turkey "
"Pera Tulip Hotel","$119 - $197*","Mesrutiyet Caddesi No 103 Tepebasi, Istanbul 34430, Turkey "
"Pension Segre","$73 - $132*","C/ Simon Oller, 1 Principal, 08001  Barcelona, Spain "
"StarMetro Deira Hotel Apartments","$109 - $265*"," Salahuddin Rd, | Pob 184786, Dubai, United Arab Emirates  "
"Hotel Washington","0"," Av Cinco De Mayo No 54, Mexico City 06000, Mexico  "
"Trump International Hotel Las Vegas","$116 - $240*"," 2000 Fashion Show Drive, Las Vegas, NV 89109  "
"Aquarium Hotel Istanbul","$51 - $131*","Sultanahmet Alaykosku Caddesi No : 16 | Eminonu, Istanbul 34410, Turkey "
"Baran Residence Hotel Airport","$143 - $217*","Naci KasIm Cad. Neyire Neyir Sok. | No.22 Bahcelievler, Istanbul 34590, Turkey "
"Hyatt Place Wolfchase Galleria","$111 - $160*"," 7905 Giacosa Place, Memphis, TN 38133  "
"Hotel Curious","$140 - $175*","C/ Carrer Carme, 25, 08001  Barcelona, Spain "
"Parrot Key Hotel and Resort","$220 - $393*"," 2801 N Roosevelt Blvd, Key West, FL 33040  "
"Hacienda Tres Rios","$204 - $513*"," Carretera Cancun-Tulum, Km. 54, Playa del Carmen 77760, Mexico  "
"Victoria Station Hotel","0"," 278 - 280 Vauxhall Bridge Road, London, England  "
"Newton Place","$110 and up*","No.163 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong, China "
"Lisa Court Hotel","$63 - $111*"," 60 Argyle Street, London WC1H 8ER, England  "
"Holiday Lodge Hotel","$75 - $181*","55 Macleay Street | Potts Point, Sydney, New South Wales 2011, Australia "
"AW Donna Camilla Savelli Hotel","$199 - $516*","Via Garibaldi 27, Rome, Italy "
"Rodeway Inn Center City","$122 - $326*"," 1208 Walnut Street, Philadelphia, PA 19107  "
"Extended Stay Deluxe Philadelphia-Airport","$114 - $131*"," 8880 Bartram Ave, Philadelphia, PA 19153  "
"Residence Inn Philadelphia Airport","$189 - $284*"," 4630 Island Avenue, Philadelphia, PA 19153  "
"Penn Tower Hotel","$104 - $169*"," Civic Center Boulevard at 34th Street, Philadelphia, PA 19104-4385  "
"Fairfield Inn Philadelphia Airport","$126 - $236*"," 8800 Bartram Ave., Philadelphia, PA 19153  "
"Extended Stay America Philadelphia - Airport","$85 - $104*"," 9000 Tinicum Blvd., Philadelphia, PA 19153  "
"Courtyard by Marriott Philadelphia Airport","$127 - $241*"," 8900 Bartram Avenue, Philadelphia, PA 19153  "
"Hotel Casa Ticul","$75 - $171*"," 5ta Avenida entre 38 y 40 | Zacil Ha, Playa del Carmen 77710, Mexico  "
"Best Western Palm Hotel","$126 - $286*"," 64 - 76 Hendon Way, London NW2 2NL, England  "
"Homewood Suites Miami-Airport West","$131 - $237*"," 3590 NW 74th Avenue, Miami, FL 33122  "
"Castell de l'Oliver","$187 - $434*","Can Milans, 08394 Barcelona, Spain "
"I Hotel & Conference Center","$120 - $177*"," 1900 S First St, Champaign, IL 61820-6914  "
"Value Place Lawrence","$26 - $189*"," 9515 Pendelton Pike, Indianapolis, IN 46236  "
"Angsana Dubai","$110 - $231*"," Sheikh Zayed Rd | PO Box 116957, Dubai, United Arab Emirates  "
"BEST WESTERN Sile Gardens","$125 - $213*","Kumbaba Mah. Uygur Sok | Sile, Istanbul 34980, Turkey "
"Dana Hotel & Spa","$197 - $1,142*"," 660 North State Street, Chicago, IL 60654  "
"Aloft Montreal Airport","$124 - $180*","500 McMillan Blvd, Montreal, Quebec H9P0A2, Canada "
"Courtyard by Marriott San Diego Airport/Liberty Station","$182 - $226*"," 2592 Laning Road, San Diego, CA 92106  "
"Hotel Park","$171 - $637*","Utangac Sok. No:26 | Sultanahmet, Istanbul 34400, Turkey "
"Travelodge London Euston","$152 - $222*"," 1-11 Grafton Place | off Eversholt Street, London NW1 1DJ, England  "
"Hilton Garden Inn Miami Airport West","$26 - $211*"," 3550 NW 74th Avenue, Miami, FL 33122  "
"Wyndham Garden Hotel Manhattan, Chelsea West","$205 - $411*"," 37 West 24th Street, New York City, NY 10010  "
"Klassik Hotel","$71 - $160*","Revaler Strasse 6, 10245 Berlin, Germany "
"Hilton Miami Downtown","$162 - $284*"," 1601 Biscayne Boulevard, Miami, FL 33132  "
"Premier Inns","0","10402 Black Canyon Freeway, Phoenix, AZ 85051 "
"Best Nobel Hotel","$46 - $204*","EbuSuud Cad Saffeti Pasa Sk No:8 | Sirkeci, Istanbul 34410, Turkey "
"Hotel Las Gacelas","$63 and up*","Paseo de San Sebastian, 53, 28490 Madrid, Spain "
"Springhill Suites Chicago Downtown / River North","$177 - $299*"," 410 North Dearborn Street, Chicago, IL 60654  "
"Relais Group Palace Hotel","$157 - $893*","Via Dei Banchi Vecchi 115, 00186 Rome, Italy "
"Relais San Pietro","$112 - $171*","Viale delle Milizie 134/136, 00195 Rome, Italy "
"Pantheon Inn","$178 - $356*","Via Santa Caterina da Siena 57, 00187 Rome, Italy "
"Aquarius Vacation Club","$113 - $228*","Carretera 101, Acceso Balneario Km 18, Boqueron 00622, Puerto Rico "
"The Hotel 91","$164 - $546*"," 91 E Broadway, New York City, NY 10002  "
"Confortel Barcelona","$131 - $371*","Esquina Llacuna, Ramon Turro, 196-198 | C Eix Llacuna, 08005 Barcelona, Spain "
"Kupeli Hotel","$89 - $179*","Hamam Cad. 4 | Sultanahmet, Istanbul 34400, Turkey "
"Holiday Inn Express Hotel & Suites Hollywood Walk of Fame","$216 - $310*","1921 North Highland Avenue, Los Angeles, CA 90068  "
"Clarion Inn & Suites","$101 and up*","1300 Canal Street, New Orleans, LA 70112 "
"Outback Roadhouse Motel and Suites","$45 and up*","1914 W Hwy 76, Branson, MO 65616 "
"Hotel RobertRamon","$104 - $265*","PC Hooftstraat 24-28, Amsterdam 1017 BX, The Netherlands "
"SuiteDreams Hotel","$145 - $237*","via Modena 5, 00184 Rome, Italy "
"Atlas Hotel","$132 - $1,179*","Cardenal Casanas 11, 08002 Barcelona, Spain "
"Hampton Inn Memphis-Walnut Grove/Baptist Hospital East","$102 - $127*"," 33 Humphrey Center Drive, Memphis, TN 38120  "
"Hampton Inn Memphis - Southwind","$78 - $126*"," 3579 Hacks Cross Road, Memphis, TN 38125  "
"Fairfield Inn & Suites Memphis","$81 - $104*"," 6010 Macon Cove Road, Memphis, TN 38134  "
"Sleep Inn - Memphis / American Way","$74 - $89*"," 5119 American Way, Memphis, TN 38115  "
"Days Inn IH 40 & Sycamore View","$55 - $73*"," 6055 Macon Cove, I-40 E & Sycamore View, Memphis, TN 38134  "
"Best Point Hotel","$91 - $302*","Cankurtaran Mah. Akbiyik Cad. No:71 | Sultanahmet, Istanbul, Turkey "
"Super 8 Memphis / Downtown / Graceland Area","$44 - $81*"," 340 West Illinois St, I-55 Exit 12C, Memphis, TN 38106  "
"Fairfield Inn Memphis I-240 & Perkins","$98 - $134*"," 4760 Showcase Blvd., Memphis, TN 38118  "
"Courtyard by Marriott Memphis East/Lenox Corporate Park","$99 - $136*"," 3076 Kirby Parkway, Memphis, TN 38115  "
"Days Inn & Suites","$62 - $81*"," 3685 American Way, Memphis, TN 38118 (Formerly Comfort Suites - Memphis / American Way) "
"Eurostars Madrid Tower","$137 - $404*","1052697.json"
"Crowne Plaza Chicago Magnificent Mile","$147 - $354*"," 160 East Huron, Chicago, IL 60611  "
"Comfort Inn Memphis","$74 - $90*"," 1335 McRee Street, Memphis, TN 38134 (Formerly Americas Best Value Inn) "
"El Acuario Hotel","$45 - $50*"," Av. 25 Norte entre 2 y 4 Norte Col. Centro, Playa del Carmen, Mexico  "
"Hostal Asuncion","$57 and up*","Plaza de Santa Barbara 8, 28004 Madrid, Spain "
"Hotel Barajas Plaza","$57 and up*","Camarillas, 5-7, 28042 Madrid, Spain "
"Le Fabe Hotel","$176 - $240*"," 113 bis, Rue de l'Ouest, 75014 Paris, France  "
"Hogarth Executive Rooms by Shaftesbury","$140 - $486*"," 33/37 Hogarth Road | Kensington, London SW5 0QQ, England  "
"Relais Chigi","0","Largo Chigi, 5, Rome, Italy "
"Shoreham Hotel","0","309 N Atlantic Ave, Ocean City, MD 21842 "
"Holiday Inn Express","$123 - $655*","1056883.json"
"Shalimar Park Hotel","$44 - $60*"," 43Rd Sikka | PO Box 21748, Dubai, United Arab Emirates  "
"AlManar Hotel Apartments","$60 - $196*"," 24th Hor Al Anz East, Dubai POB 62495, United Arab Emirates  "
"Ruzzini Palace Hotel","$261 - $848*","Castello 5866, 30122 Venice, Italy "
"Hotel Apartmenthaus Zarenhof","$84 - $219*","1057434.json"
"Hostal Ballesta","$56 and up*","Ballesta, 5, 28004 Madrid, Spain "
"Airporthotel Berlin-Adlershof","$64 - $113*","Rudower Chaussee 14, 12489 Berlin, Germany "
"Titanic Business Hotel Kartal","$117 - $159*","Barbaros Hayrettin Pasa Cad. No:43 | Kartal, Istanbul 34880, Turkey "
"Mikon Eastgate Hotel","$70 - $138*","Hessische Str 10, 10115 Berlin, Germany "
"Hotel Castle","$66 - $112*","Salita di Castel Giubileo 196 | Uscita Castel Giubileo del GRA, 00138 Rome, Italy "
"Corte Dei Greci Hotel","$141 - $355*","Castello 4973, 30122 Venice, Italy "
"Samaya Hotel Deira","$98 - $190*"," Al Rigga | PO Box 88449, Dubai, United Arab Emirates  "
"Augusta Lucilla Palace","$116 - $330*","Via Massimo d'Azeglio, 2, 184 Rome, Italy "
"The Byzantium Hotel & Suites","$97 - $316*","Akbiyik cad. No:25 (Old City) / Sultanahmet, Istanbul 34122, Turkey "
"Seref Hotel - Beyoglu","$38 - $71*","1061802.json"
"Hotel de Notre Dame \"Maitre Albert\"","$204 - $304*"," 19 Rue Maitre Albert, 75005 Paris, France  "
"Rosewood Hotel Georgia","$302 - $456*","801 West Georgia Street, Vancouver, British Columbia V6C 1P7, Canada "
"Star Metro Al Barsha","$72 - $433*"," Al Barsha 1 | Behind Mall Of the Emirates, Dubai 185323, United Arab Emirates  "
"Hilton Garden Inn Montreal Centre-ville","$169 - $293*","380 Sherbrooke St. West, Montreal, Quebec H3A 0B1, Canada "
"New Pembury Central Park","0"," 3-15 Wilberforce Road, London  N4 2SN , England  "
"Hotel Vibel Roma","$75 - $124*","97 Via dello Scalo San Lorenzo, 00185  Rome, Italy "
"W Hong Kong","$353 and up*","No.1 Austin Road West, Kowloon Station, Hong Kong, China "
"Hotel Regente City","$53 - $78*"," Paris No. 9 Col. Tabacalera, Mexico City 06030 , Mexico  "
"One by The Five","$660 - $1,600*"," 3, rue Flatters, 75005 Paris, France  "
"Elite World Hotel","$190 - $394*","Sehit Muhtar Caddesi No 42 | Taksim, Istanbul 34435, Turkey "
"Oldcity Hotel Istanbul","$96 - $431*","Alaykosku caddesi No 1 | Sultanahmet, Istanbul 34410, Turkey "
"Novotel Amsterdam City","$131 - $268*","Europaboulevard 10, Amsterdam 1083 AD, The Netherlands "
"Hotel 81 Rochor","$84 - $135*","Jalan Besar 5, Singapore 208785, Singapore "
"Emine Sultan Hotel","$112 - $158*","Ayasofya Caddesi | Kapi Agasi Sok. No: 6 Sultanahmet, Istanbul, Turkey "
"Dama Hotel","0","Via Milazzo,42, 00185 Rome, Italy "
"Orchard Grand Court","0","131 Killiney Road, Singapore 239571, Singapore "
"Atlantic Hotel","0","Wicomico Street, PO Box 120, Ocean City, MD 21843 "
"Hotel Santa Prassede","$66 - $158*","via di Santa Prassede 25, 00184 Rome, Italy "
"Chicago South Loop Hotel","$110 - $237*"," 11 West 26th Street, and W 26th St, Chicago, IL 60616  "
"Feng Shui Hotel Melarose","$77 - $143*","Greifswalder Str. 199, 10405 Berlin, Germany "
"ABaC Barcelona","$283 - $564*","Avenida Tibidado 1, 08022 Barcelona, Spain "
"Adamar Hotel","$106 - $471*","Yerebatan Cad No 37 | Sultanahmet, Istanbul 34110, Turkey "
"Zagy Arabian Suites","$68 - $299*"," PO Box 28120, Dubai, United Arab Emirates  "
"Hotel dell'Opera","$263 - $445*","San Marco 2009, 30124 Venice, Italy "
"Eser Premium Hotel & Spa","$142 - $206*","Fatih Mah. Gazi Mustafa Kemal Cad. | No:11 Buyukcekmece, Istanbul 34500, Turkey "
"Petit Palace Mayor","$125 and up*","Mayor 46 | Centro Histórico, 28013 Madrid, Spain "
"Hotel Aniene","$80 - $173*","Viale Tirreno, 74, 00141 Rome, Italy "
"BEST WESTERN Hotel am Spittelmarkt","$68 - $165*","1082337.json"
"BEST WESTERN Blue Square Hotel","$99 - $255*","Slotermeerlaan 80, Amsterdam 1064 HD, The Netherlands "
"Barcelo Raval","$133 - $263*","Rambla del Raval 17-21, 08001 Barcelona, Spain "
"Ovolo Hotel - 286 Queen's Road Central, Central","$171 and up*","No.286 Queen's Road, Central, Hong Kong, China "
"Ascott Raffles Place Singapore","$261 - $349*","2 Finlayson Green, Singapore 049247, Singapore "
"AmazInn & Suites","$62 and up*","3311 Shepherd of the Hills Expressway, Branson, MO 65616 "
"The Great Southern Hotel","$98 - $171*","717 George St, Sydney, New South Wales 2000, Australia (Formerly Pacific International Hotel Sydney)"
"Crowne Plaza Changi Airport Hotel","$247 - $390*","75 Airport Blvd #01-01 | Changi Airport - Terminal 3, Singapore 819664, Singapore "
"BEST WESTERN Premier Hotel Sant' Elena","$162 - $384*","Calle Buccari 10, 30132 Venice, Italy "
"Four Seasons Istanbul at the Bosphorus","$700 - $3,238*","1087766.json"
"Hollingbury Hotel","$73 - $267*"," 106 Craven Park, London NW10 8QE, England  "
"Corner House Hotel","$92 - $190*"," 201-203 Camden Road, London NW1 9AA , England  "
"Rider's Lodge","$95 - $142*","1088459.json"
"Witt Istanbul Suites","$235 - $310*","Defterdar Yokusu No. 26 | Cihanger, Beyoglu, Istanbul 34433, Turkey "
"Hotel Re!","$126 - $237*","1088871.json"
"Nojoum Hotel Apartments","$136 - $327*"," Abu Baker Al Siddique Road | Adjacent to Hamarain Shopping Center, Dubai, United Arab Emirates  "
"Fragrance Hotel - Waterfront","$80 - $110*","418 Pasir Panjang Road, Singapore 118759, Singapore "
"Golden Tulip Suites Dubai","$194 - $392*"," P.O.Box 282464, Dubai 282464, United Arab Emirates  "
"Days Inn Dallas DFW","$57 - $75*","8312 South Lancaster Road, Dallas, TX 75241 "
"Fairfield Inn Dallas North","$78 - $115*","109231.json"
"Holiday Inn Express Dubai - Safa Park","$86 - $170*"," Sheikh Zayed Road | Safa Park, Dubai, United Arab Emirates  "
"Comfort Suites Park Central","$68 - $81*","13165 Central Expressway, Dallas, TX 75243 "
"La Maison d'Hotes","$231 - $259*"," 26D Street | P.O. Box 212930, Jumeirah, Dubai, United Arab Emirates  "
"Fairfield Inn Dallas Park Central","$91 - $117*","9230 LBJ Freeway, Dallas, TX 75243 "
"Staybridge Suites Dallas Near the Galleria","$87 - $153*","7880 Alpha Road, Dallas, TX 75240 "
"Hyatt Place Dallas / Park Central","$86 - $134*","12411 N Central Expwy, Dallas, TX 75243 (Formerly AmeriSuites)"
"Homestead Studio Suites Dallas - Plano","$67 - $87*","18470 North Dallas Parkway, Dallas, TX 75287 "
"Hotel Lumen - a Kimpton Hotel","$171 - $278*","109345.json"
"WorldQuest Orlando Resort","$126 - $216*"," 8849 Worldquest Blvd., Orlando, FL 32821  "
"Courtyard by Marriott Dallas Central Expressway","$103 - $164*","10325 North Central Expressway, Dallas, TX 75231 "
"Budget Suites of America-Dallas","0","9519 Forest Lane, Dallas, TX 75243-5901 "
"Staybridge Suites Dallas - Addison","$67 - $172*","16060 Dallas Parkway, Dallas, TX 75248 (Formerly Bradford Homesuites)"
"Marriott Suites Market Center Dallas","$112 - $240*","2493 North Stemmons Freeway, Dallas, TX 75207 "
"Courtyard by Marriott Dallas Market Center","$101 - $177*","2150 Market Center Blvd, at Stemmons Freeway/I-35, Dallas, TX 75207 "
"Holiday Inn Express Hotel & Suites Dallas/Stemmons Fwy(I-35 E)","$88 - $155*","2287 W. Northwest Hwy, Dallas, TX 75220 "
"Residence Inn Dallas Market Center","$101 - $185*","6950 N Stemmons Freeway, Dallas, TX 75247 "
"Sterling Hotel","$62 - $107*","1055 Regal Row, Dallas, TX 75247 "
"Fairfield Inn Dallas Market Center","$89 - $149*","2110 Market Center Boulevard, at Stemmons, Dallas, TX 75207 "
"Wingate by Wyndham Dallas / Love Field","$75 - $108*","8650 North Stemmons Freeway, I-35E North - Exit 434A Empire Central, Dallas, TX 75247 "
"Comfort Inn & Suites Market Center","$72 - $101*","7138 North Stemmons Freeway, Dallas, TX 75247 "
"Candlewood Suites - Dallas Market Center","$70 - $108*","7930 North Stemmons Freeway, Dallas, TX 75247 "
"Super 8 Dallas/East","$44 - $67*","109407.json"
"InterContinental Dallas","$133 - $222*","15201 Dallas Parkway, Dallas, TX 75001 "
"The Magnolia Hotel Dallas","$139 - $243*","1401 Commerce St., Dallas, TX 75201 "
"Springhill Suites Dallas Downtown West End","$126 - $200*","1907 North Lamar Street, Dallas, TX 75202 "
"Extended Stay Deluxe Dallas - Market Center","$67 - $81*","2979 North Stemmons Fwy (I-35E), Dallas, TX 75247 "
"Residence Inn Dallas Central Expressway","$111 - $164*","10333 North Central Expressway, Dallas, TX 75231 "
"MCM Elegante Hotel and Suites","$69 - $147*","109452.json"
"Motel 6 Dallas","$46 - $49*","2380 West Northwest Hwy, Dallas, TX 75220 (Formerly La Quinta Inn and Suites Dallas Northwest)"
"Hotel Lawrence","$88 - $141*","302 South Houston Street, Dallas, TX 75202 "
"Wyndham Dallas Love Field","$95 - $149*","3300 West Mockingbird Lane, Dallas, TX 75235 "
"Baymont Inn & Suites Dallas Love Field","$89 - $112*","2370 W Northwest Highway, Dallas, TX 75220 "
"Holiday Inn Express Hotel & Suites Dallas Park Central Northeast","$87 - $119*","9089 Vantage Point Dr., Dallas, TX 75243 (Formerly Hawthorn Suites)"
"BEST WESTERN Cityplace Inn","$84 - $104*","4150 N Central Expressway, Dallas, TX 75204 (Formerly Days Inn Central)"
"Candlewood Suites - Dallas by the Galleria","$61 - $95*","13939 Noel Road, Dallas, TX 75240 "
"Residence Inn Dallas Addison/Quorum Drive","$84 - $174*","14975 Quorum Drive, Dallas, TX 75240 "
"La Quinta Inn & Suites Dallas Addison Galleria","$64 - $117*","14925 Landmark Boulevard, Dallas, TX 75245 "
"CityStay Hotel","$85 - $396*"," 94 Bow Road, London E3 3AA, England  "
"Domus Civica","$41 - $123*","S.Polo n. 3082 C.A.P., 30125 Venice, Italy "
"Ramada-Dallas Love Field","$63 - $99*","1575 Regal Row, At Stemmons Freeway, Dallas, TX 75247-3619 "
